design,rho,n,d,s,lambda,exact_hoffman,exact_hoffman_std,exact_hoffman_ci_lower,exact_hoffman_ci_upper,lower_bound,lower_bound_std,lower_bound_ci_lower,lower_bound_ci_upper,upper_bound,upper_bound_std,upper_bound_ci_lower,upper_bound_ci_upper,weyl_bound,weyl_bound_std,weyl_bound_ci_lower,weyl_bound_ci_upper,lambda_min_AA,lambda_min_AA_std,lambda_min_AA_ci_lower,lambda_min_AA_ci_upper,condition_number_AA,condition_number_AA_std,condition_number_AA_ci_lower,condition_number_AA_ci_upper,true_interaction_norm,true_interaction_norm_std,true_interaction_norm_ci_lower,true_interaction_norm_ci_upper,interaction_norm_bound,interaction_norm_bound_std,interaction_norm_bound_ci_lower,interaction_norm_bound_ci_upper,max_leverage,max_leverage_std,max_leverage_ci_lower,max_leverage_ci_upper,lower_ratio,lower_ratio_std,lower_ratio_ci_lower,lower_ratio_ci_upper,upper_ratio,upper_ratio_std,upper_ratio_ci_lower,upper_ratio_ci_upper,weyl_ratio,weyl_ratio_std,weyl_ratio_ci_lower,weyl_ratio_ci_upper,lower_gap,lower_gap_std,lower_gap_ci_lower,lower_gap_ci_upper,upper_gap,upper_gap_std,upper_gap_ci_lower,upper_gap_ci_upper,weyl_gap,weyl_gap_std,weyl_gap_ci_lower,weyl_gap_ci_upper
Spiked_rho=0.000,0.0,200,400,10,0.01,200.16354455420273,5.656956005710681,192.66225502755262,211.6253394939573,100.0,0.0,100.0,100.0,348.1575051765405,13.169780891593684,325.6697287982552,372.5873153251332,,,,,0.687662580280372,0.03074960893190148,0.6241027744751801,0.7302077678661927,1.9927338417917568,0.14638196273598283,1.7265164052288557,2.2251772901202314,1.7032382760348816,0.05527767321723798,1.6118476864564,1.7945581186393709,5.135593079839808,0.13078986280761287,4.922541590351702,5.344536762708491,0.13771830932016238,0.01295674249044946,0.11903325874123413,0.15946445058628864,2.001635445542027,0.05656956005710679,1.926622550275526,2.116253394939573,1.739454231517134,0.04737409652302543,1.6644021582007413,1.8316187251385825,,,,,100.1635445542027,5.65695600571068,92.66225502755262,111.62533949395731,147.99396062233774,10.040213310752607,129.97810422185165,166.27404585761278,,,,
Spiked_rho=0.050,0.049999999999999996,200,400,10,0.01,277.7634402777939,18.902995014197586,233.63118926113808,302.86806479994937,100.0,0.0,100.0,100.0,626.2150238260792,97.62874723260977,467.72993858588086,822.9197575861069,,,,,0.6680969317304556,0.04987897580422595,0.5668696066106341,0.7513697417021356,2.2904269533702815,0.3241628072849986,1.8060404143289188,2.940129932316071,3.476825067924422,0.4607972997200782,2.6320766177336488,4.329236211912626,6.197100108650517,0.4034091925345751,5.5572675229545405,7.03039105035852,0.16753680176137703,0.019181097923137463,0.13915478456758962,0.20378032631871656,2.77763440277794,0.18902995014197582,2.336311892611381,3.0286806479994937,2.2505755422522986,0.28432445745440654,1.8318925061739202,2.8070543330436206,,,,,177.76344027779393,18.902995014197586,133.63118926113808,202.86806479994937,348.45158354828527,87.94014994719248,217.10146902164843,528.8727088532397,,,,
Spiked_rho=0.100,0.09999999999999999,200,400,10,0.01,376.64271451043544,23.74644320044171,328.45671265708313,414.84773266150387,100.0,0.0,100.0,100.0,1198.1558808831746,126.56950954449619,1008.6234368121362,1470.2904122565699,,,,,0.6208355071498797,0.04048063236352704,0.5544068784446797,0.6985206936750358,3.213367802568173,0.3977705567674748,2.5195593234745512,3.9277710745880254,6.7902606094739015,0.6482691833888224,5.816126905531057,8.104078965219013,8.86966899248455,0.6351053597145232,7.9720394825625345,10.096187762137582,0.23419011297569398,0.02542180844889118,0.1954155815669162,0.27794415544346535,3.766427145104353,0.23746443200441708,3.2845671265708316,4.148477326615039,3.193275297072425,0.382400487792207,2.5669115891233383,3.880340382890656,,,,,276.64271451043544,23.74644320044171,228.45671265708313,314.84773266150387,821.5131663727392,128.08623325925245,630.6504550143608,1091.2254930578401,,,,
Spiked_rho=0.150,0.15,200,400,10,0.01,432.471342033539,26.981646051049243,384.1694066129592,478.0768278369437,100.0,0.0,100.0,100.0,1726.3674131520747,253.0656362014833,1321.4730663786136,2256.616598694318,,,,,0.5945440360906057,0.036104017567393266,0.5265321462810787,0.6539707846752607,4.044193778261737,0.5613562319380693,3.147291620037306,5.166379774353305,9.59668618130418,1.0404220361614303,7.613574864584504,11.505977598577783,11.384361872894413,1.0035409993672486,9.532497404142537,13.303830865727747,0.2755871747276017,0.02130076076583247,0.2337159478067122,0.30754866563616734,4.324713420335389,0.26981646051049235,3.8416940661295924,4.780768278369437,3.990559930512698,0.5130699272296174,3.2095428642447574,4.95253192426626,,,,,332.4713420335389,26.981646051049243,284.1694066129592,378.0768278369437,1293.896071118536,242.4978884978483,937.3036597656543,1794.6032955456014,,,,
Spiked_rho=0.200,0.19999999999999998,200,400,10,0.01,478.85248903347974,19.877747868084427,443.15475766958286,510.24228123926935,100.0,0.0,100.0,100.0,2517.5021448791185,363.17398705828197,1987.0050204178592,3413.7221733319766,,,,,0.5429995933914349,0.031423522578121775,0.48939467434149525,0.5884669562379873,5.345073262803622,0.6583360713910983,4.4540746848879245,6.969587725984174,13.031336861972884,1.322186342725673,10.998387855983404,16.24668022723517,14.600228508210204,1.257724625649794,12.722799380314923,17.699701512995343,0.33140048811259076,0.03272650177341571,0.2902521054586409,0.39884228353388823,4.788524890334799,0.1987774786808444,4.431547576695828,5.102422812392693,5.246087928394503,0.626494608923337,4.350208125506905,6.7601622716971645,,,,,378.85248903347986,19.877747868084427,343.15475766958286,410.24228123926935,2038.649655845639,350.5829967217679,1530.4580603267486,2908.6487332904935,,,,
Spiked_rho=0.250,0.24999999999999997,200,400,10,0.01,511.1061169816779,14.694588200162391,487.4510199459592,534.5593161270078,100.0,0.0,100.0,100.0,3096.4002503899187,271.59001090872925,2630.0589192860834,3654.672997987149,,,,,0.5217107698740369,0.02689865952034218,0.4855620700211683,0.5804097895443221,6.186279054611799,0.5037171692225296,5.165389317380823,7.049552666048241,15.581697808014052,1.0295274686297313,14.257748193732432,17.536233637947248,16.96244382642775,0.9825292846688438,15.64810485251691,18.812537057169465,0.38275570963522115,0.025082246493828713,0.3460762720319887,0.4248891713690084,5.1110611698167805,0.14694588200162384,4.874510199459593,5.345593161270079,6.056290920285035,0.4716695972258587,5.156138624533299,6.938990218209665,,,,,411.10611698167804,14.694588200162391,387.4510199459592,434.5593161270079,2585.2941334082407,265.06215217653653,2126.279334619152,3127.852435045104,,,,
Spiked_rho=0.300,0.3,200,400,10,0.01,535.866784657421,15.811252534578767,516.9451857380119,573.4390927768357,100.0,0.0,100.0,100.0,3857.240192020112,555.0820906122564,2848.7531706261057,4841.689458133322,,,,,0.49857626761015056,0.03706457982893831,0.4348424301549283,0.5752057319858328,7.394296422644807,0.9887009881669174,5.474304194519149,9.16922270974167,18.541288611597377,1.5766308270004337,15.783324049281111,21.229015287457976,19.82829314336974,1.5360851320823738,17.10166860143042,22.393051345588496,0.4222386873656233,0.029455355235873774,0.37339986902901656,0.47967661660422845,5.3586678465742095,0.1581125253457877,5.169451857380119,5.734390927768357,7.185264475649829,0.9210115935419377,5.46475555255719,8.88836577849743,,,,,435.86678465742096,15.811252534578767,416.9451857380119,473.43909277683565,3321.37340736269,545.3028356834785,2327.6074675918026,4297.110841406519,,,,
Spiked_rho=0.350,0.35,200,400,10,0.01,554.850340305861,13.095012187427539,535.0694208939817,583.8530891800234,100.0,0.0,100.0,100.0,5233.492819746407,626.1943978705266,4157.651755666668,6412.711821146657,,,,,0.43518798452013313,0.028247220907060878,0.38484268066268806,0.4835481735594927,9.743714236296714,1.176910223431151,7.7010733634983595,12.080073640061816,22.180766772165676,1.5435565134027343,18.991539071354506,24.28553700229091,23.334877804248272,1.4920939284648052,20.2508057263784,25.42050108927317,0.4699106332908104,0.028701071785552295,0.41229832082453255,0.5112544382596004,5.548503403058611,0.1309501218742754,5.350694208939816,5.838530891800233,9.439482319668603,1.1747996890397046,7.393115807085352,11.69275176910369,,,,,454.85034030586104,13.095012187427539,435.0694208939817,483.85308918002335,4678.642479440546,627.2524685826696,3595.1151472414285,5864.296704337408,,,,
Spiked_rho=0.400,0.39999999999999997,200,400,10,0.01,565.490519849118,10.263162451675386,550.6461652185598,583.7644551598374,100.0,0.0,100.0,100.0,6375.425365072175,619.0018371488392,5554.804201792089,7599.692826803192,,,,,0.40365297816372225,0.024099541282846405,0.3530465824095294,0.43116997046072203,11.596248209313888,1.1023393337341731,10.329512577175976,13.866640340973541,25.190308125843178,1.0996555236331205,23.36452059592377,27.358956522413145,26.21597283460801,1.0618787517487578,24.529991471428737,28.36690070228003,0.5181579179044707,0.01850495831824241,0.48205554438449594,0.5495536438669436,5.65490519849118,0.10263162451675391,5.506461652185598,5.837644551598375,11.274611630936606,1.081747076672332,10.013093383897445,13.486148492457497,,,,,465.49051984911796,10.263162451675386,450.6461652185598,483.76445515983744,5809.934845223056,617.4390217222281,5000.073241137083,7036.262479414882,,,,
Spiked_rho=0.450,0.44999999999999996,200,400,10,0.01,582.9333981835983,10.157349429169502,563.4723641438496,598.6614590839812,100.0,0.0,100.0,100.0,7568.948397761172,1012.0571624699277,6212.139781244637,9891.985096036386,,,,,0.3788427425969879,0.03219667702233247,0.31648208128433813,0.4257208531608987,13.419106962622422,1.8008456558634003,10.911287291773672,17.504657006565857,27.997658767326577,1.6399123580772137,25.59659659015007,31.885934976112292,28.93764875908487,1.5968079754705338,26.595913113065514,32.72997842891938,0.5629648614897987,0.02427386892947364,0.5252642783186781,0.6138492562001956,5.829333981835983,0.10157349429169499,5.634723641438497,5.986614590839811,12.985627818929979,1.73346365677253,10.568637244247133,16.886302944006033,,,,,482.93339818359834,10.157349429169502,463.4723641438497,498.66145908398113,6986.014999577574,1011.1932138563262,5624.613717226396,9305.462664855071,,,,
Spiked_rho=0.500,0.49999999999999994,200,400,10,0.01,590.2656844571354,9.297756361878978,573.2649649608009,604.9492651290225,100.0,0.0,100.0,100.0,9013.346159422306,1277.587107615819,7589.621380563218,11928.190921252284,,,,,0.34784323330746925,0.03365004034413358,0.28403790550787045,0.3950845069763517,15.748444927305414,2.270323092112825,13.20935637739407,20.96800019144712,30.593302338067154,1.353695010423704,28.99549095089692,33.47820588091342,31.436357582658196,1.3137856729934108,29.845796374169478,34.24220610832355,0.5935689025413717,0.022308505115985488,0.5605149638310867,0.6406485672357921,5.902656844571353,0.09297756361878974,5.732649649608009,6.049492651290224,15.287320104548675,2.2820505261360524,12.557305252061537,20.523103513640503,,,,,490.26568445713536,9.297756361878978,473.2649649608008,504.9492651290225,8423.080474965169,1281.3342133974857,6985.136103443496,11347.121310152228,,,,
Spiked_rho=0.550,0.5499999999999999,200,400,10,0.01,604.4938390515948,7.88108942945909,593.7641663117525,618.7676260672067,100.0,0.0,100.0,100.0,11643.604396507872,1614.954648181558,8999.258637573565,14465.72653580224,,,,,0.30533223285513705,0.0295709285731289,0.2605803736215167,0.3649066884347804,19.894682345301767,2.78183675984144,15.201119110964664,24.833718110690413,34.78386846609489,1.7211211721606603,31.86831439959407,37.79030972374447,35.49936908624622,1.6842308280683438,32.645669685134,38.40601901325522,0.6527043802204423,0.023917098728690495,0.6048384109171127,0.6945662345804526,6.044938390515947,0.07881089429459101,5.9376416631175255,6.187676260672068,19.257493835597767,2.633905306634227,14.860807739533364,24.170407921336746,,,,,504.4938390515948,7.88108942945909,493.7641663117526,518.7676260672067,11039.110557456275,1613.2703571682505,8393.116354075186,13864.690609219017,,,,
Spiked_rho=0.600,0.6,200,400,10,0.01,611.7744010621639,7.800291858199909,600.439683482839,626.4821234574702,100.0,0.0,100.0,100.0,14533.289372773064,1775.5697667305799,11924.831383122684,17483.216990950314,,,,,0.26544437772377094,0.024831867539313768,0.22327971038341587,0.3037948646602402,24.55944815859157,3.064461555214298,20.180939411427662,29.62919902400206,37.8811854913187,1.4462035236008888,35.33058561186614,40.234093748339355,38.5165617263615,1.4195997761131123,36.02120620178792,40.83082101477097,0.6911206426106542,0.013633848231099407,0.6718309765471672,0.7184763675604414,6.1177440106216405,0.07800291858199908,6.004396834828389,6.264821234574701,23.76351730461934,2.942933387697549,19.36638155635271,28.473693353833454,,,,,511.7744010621639,7.800291858199909,500.4396834828389,526.4821234574702,13921.514971710896,1776.4168198335788,11309.697697150012,16869.176492398405,,,,
Spiked_rho=0.650,0.6499999999999999,200,400,10,0.01,618.9927778211974,7.847944113933622,606.1045120959969,633.2612542479087,100.0,0.0,100.0,100.0,17414.675782321803,2093.887139448735,14357.556334524335,21029.400269949405,,,,,0.23671491434736985,0.023786390558624138,0.20143334954414843,0.27470592988372194,29.194395002460375,3.4654733779833133,24.07501520775629,35.116754791557966,40.498097788447595,1.101740028335948,38.684305841065004,42.68192672715989,41.06195311910808,1.063387711615327,39.31978598558474,43.18438433380095,0.7272863667260177,0.016942135084968855,0.702530768331238,0.7560489296507303,6.189927778211972,0.07847944113933626,6.061045120959969,6.332612542479088,28.138890132480867,3.396763220535247,22.735410412459093,33.775622335479596,,,,,518.9927778211974,7.847944113933622,506.10451209599694,533.2612542479087,16795.683004500606,2094.0341078486144,13726.411341761997,20406.630582759793,,,,
Spiked_rho=0.700,0.7,200,400,10,0.01,622.9523454434053,7.298599439003477,608.7134986910229,636.5521737001452,100.0,0.0,100.0,100.0,21648.342335431673,2250.4305581074996,18214.45615916827,25759.486496918034,,,,,0.20369028128824937,0.015566894436453697,0.17728994529591427,0.22947933482885113,35.97261142973362,3.7087163457449672,30.302486172378575,42.79638394937548,43.54908916454474,1.366685343885758,40.70310645677689,45.7481691048951,44.0312243437883,1.3364371476586834,41.24941335549755,46.18227873855765,0.7633670704907654,0.017847196521689517,0.7286297921969198,0.792635533326965,6.229523454434053,0.07298599439003475,6.087134986910229,6.365521737001452,34.74435517463336,3.5220205005147682,29.539934452453743,41.4778419189011,,,,,522.9523454434053,7.298599439003477,508.71349869102283,536.5521737001452,21025.38998998827,2248.429240403745,17597.852753118288,25131.932393740055,,,,
Spiked_rho=0.750,0.7499999999999999,200,400,10,0.01,627.341615293659,9.345371368214998,612.6998162327866,645.8383000558658,100.0,0.0,100.0,100.0,28119.43677744614,3921.733385426501,21873.66134661449,35589.14887650818,,,,,0.17040484893025498,0.01990253836164689,0.13620902478706348,0.20594643234125037,46.36841301062204,6.408025061032935,36.35808852384998,58.418656056157424,46.97561166225968,1.0761969143299202,44.67233265703746,48.43600353450453,47.37144089129076,1.0436409665802926,45.1699871322473,48.803269248909544,0.8076239424292547,0.017016830543683886,0.7680263299941525,0.8314844386890341,6.27341615293659,0.09345371368214993,6.126998162327866,6.458383000558658,44.819713552071285,6.149839957138892,34.21090420400148,56.333737634462885,,,,,527.341615293659,9.345371368214998,512.6998162327866,545.8383000558658,27492.09516215248,3920.493170136508,21234.843937806927,34957.28827310992,,,,
Spiked_rho=0.800,0.7999999999999999,200,400,10,0.01,631.3224570107025,6.875732397333183,624.0615922019995,646.0326224875712,100.0,0.0,100.0,100.0,38120.29511218857,4812.178181883124,30782.20938446351,46615.012287435486,,,,,0.13336093257667764,0.014001337456645191,0.10967683764557903,0.1580421136282186,62.38964592429066,7.755050160589312,50.593040957983376,76.28677096046388,50.03728514277728,1.1219782591122929,48.220021303990016,51.93208816802662,50.34649673707355,1.0934198022888142,48.57272328914255,52.193574755226216,0.8484714721392084,0.014742008841794095,0.8240836160413767,0.8782794797074311,6.313224570107025,0.06875732397333183,6.2406159220199955,6.460326224875712,60.36957395383263,7.486526943308443,48.65668395666832,73.62482218344161,,,,,531.3224570107025,6.875732397333183,524.0615922019995,546.0326224875712,37488.97265517787,4810.557094331358,30155.792173964684,45977.72555756427,,,,
Spiked_rho=0.850,0.85,200,400,10,0.01,634.8749658594281,7.642137624942915,621.9559160882472,648.3538851526315,100.0,0.0,100.0,100.0,51875.338233690636,5498.811781745471,43897.64759872006,63058.9982535976,,,,,0.10331618729331819,0.009417357489321007,0.08634343477661784,0.11849771101215521,84.49283491195641,8.918504278486713,71.6832189130751,102.45423824207188,52.97873439924889,0.6731947958484018,51.897319201742675,54.32026840478782,53.2154241182721,0.6585256525446764,52.154549552996436,54.52567213188938,0.8837767923147177,0.01094022869972927,0.8631967941157015,0.9009972856701589,6.348749658594282,0.07642137624942917,6.219559160882472,6.483538851526315,81.70815714820026,8.59463401124454,69.54878326280786,98.85827067931933,,,,,534.8749658594281,7.642137624942915,521.9559160882472,548.3538851526315,51240.463267831205,5497.8569210266605,43266.859935513625,62421.129702015045,,,,
Spiked_rho=0.900,0.8999999999999999,200,400,10,0.01,640.2948304599624,4.860466853133304,631.2771662783626,650.4744660028857,100.0,0.0,100.0,100.0,84019.02576488019,8767.97967581895,69806.27419182239,102945.71795051733,,,,,0.06760894557985422,0.006306726563804718,0.05548773802636971,0.07956001968744437,135.77565397727975,14.104325530061036,112.76914779904851,166.03599209337798,56.18999746569674,0.460846330269651,55.26830915019458,56.83644649291445,56.345202102355735,0.45047468439780863,55.4421717192379,56.98072956081202,0.9253395901536006,0.006878507772264438,0.9143385383658595,0.9376869668871776,6.402948304599626,0.04860466853133295,6.312771662783627,6.504744660028857,131.2062253254927,13.56009338706501,109.76513425764195,160.91205455128042,,,,,540.2948304599624,4.860466853133304,531.2771662783626,550.4744660028857,83378.73093442025,8767.033700818614,69170.48316393833,102305.94411286128,,,,
Spiked_rho=0.950,0.95,200,400,10,0.01,643.842424864162,7.913736215473955,632.5582893814612,660.4696656386997,100.0,0.0,100.0,100.0,172597.05512757567,23236.956127904003,139195.18276477867,219201.56665291268,,,,,0.03495795685828495,0.004310638236962421,0.027419915377177733,0.04236153856896014,277.6936451661501,37.341013787164115,223.85022168960856,352.48366327036643,59.3123216204999,0.2930490016512158,58.793548476333,59.899418608112505,59.38984263320452,0.28630276587067477,58.880396034270326,59.96021256135646,0.9612477442144414,0.003916741667793127,0.9564477757171133,0.9702309847430557,6.43842424864162,0.07913736215473952,6.325582893814613,6.604696656386997,268.0506623251356,35.98840086720674,218.8538675252289,343.7370832441487,,,,,543.842424864162,7.913736215473955,532.5582893814612,560.4696656386997,171953.21270271152,23235.8208444207,138559.02763207772,218563.81778860476,,,,
